year,state,population,State,Abbrev,Code
1975,SD,681489,South Dakota,S.D.,SD
1975,TN,4260943,Tennessee,Tenn.,TN
1975,TX,12568317,Texas,Tex.,TX
1975,UT,1233990,Utah,Utah,UT
1975,VA,5056199,Virginia,Va.,VA
1975,VT,479897,Vermont,Vt.,VT
1975,WA,3618928,Washington,Wash.,WA
1975,WI,4569660,Wisconsin,Wis.,WI
1975,WV,1840660,West Virginia,W.Va.,WV
1975,WY,380537,Wyoming,Wyo.,WY
1976,AK,392998,Alaska,Alaska,AK
1976,AL,3737038,Alabama,Ala.,AL
1976,AR,2168656,Arkansas,Ark.,AR
1976,AZ,2347970,Arizona,Ariz.,AZ
1976,CA,21934604,California,Calif.,CA
1976,CO,2632370,Colorado,Colo.,CO
1976,CT,3085999,Connecticut,Conn.,CT
1976,DC,696305,District of Columbia,D.C.,DC
1976,DE,592753,Delaware,Del.,DE
1976,FL,8695198,Florida,Fla.,FL
1976,GA,5125734,Georgia,Ga.,GA
1976,HI,902061,Hawaii,Hawaii,HI
1976,IA,2903776,Iowa,Iowa,IA
1976,ID,857076,Idaho,Idaho,ID
1976,IL,11360331,Illinois,Ill.,IL
1976,IN,5371615,Indiana,Ind.,IN
1976,KS,2298892,Kansas,Kans.,KS
1976,KY,3530680,Kentucky,Ky.,KY
1976,LA,3951506,Louisiana,La.,LA
1976,MA,5748885,Massachusetts,Mass.,MA
1976,MD,4172112,Maryland,Md.,MD
1976,ME,1089964,Maine,Maine,ME
1976,MI,9117539,Michigan,Mich.,MI
1976,MN,3956673,Minnesota,Minn.,MN
1976,MO,4823715,Missouri,Mo.,MO
1976,MS,2430110,Mississippi,Miss.,MS
1976,MT,758597,Montana,Mont.,MT
1976,NC,5593340,North Carolina,N.C.,NC
1976,ND,645429,North Dakota,N.D.,ND
1976,NE,1549128,Nebraska,Nebr.,NE
1976,NH,847025,New Hampshire,N.H.,NH
1976,NJ,7344079,New Jersey,N.J.,NJ
1976,NM,1195208,New Mexico,N.M.,NM
1976,NV,646870,Nevada,Nev.,NV
1976,NY,17974781,New York,N.Y.,NY
1976,OH,10752843,Ohio,Ohio,OH
1976,OK,2823332,Oklahoma,Okla.,OK
1976,OR,2372217,Oregon,Ore.,OR
1976,PA,11887569,Pennsylvania,Pa.,PA
1976,RI,950328,Rhode Island,R.I.,RI
1976,SC,2941304,South Carolina,S.C.,SC
1976,SD,686917,South Dakota,S.D.,SD
1976,TN,4329200,Tennessee,Tenn.,TN
1976,TX,12903392,Texas,Tex.,TX
1976,UT,1272410,Utah,Utah,UT
1976,VA,5132519,Virginia,Va.,VA
1976,VT,485172,Vermont,Vt.,VT
1976,WA,3690628,Washington,Wash.,WA
1976,WI,4584747,Wisconsin,Wis.,WI
1976,WV,1877536,West Virginia,W.Va.,WV
1976,WY,395493,Wyoming,Wyo.,WY
1977,AK,397220,Alaska,Alaska,AK
1977,AL,3782571,Alabama,Ala.,AL
1977,AR,2207195,Arkansas,Ark.,AR
1977,AZ,2427296,Arizona,Ariz.,AZ
1977,CA,22350332,California,Calif.,CA
1977,CO,2696179,Colorado,Colo.,CO
1977,CT,3088745,Connecticut,Conn.,CT
1977,DC,681766,District of Columbia,D.C.,DC
1977,DE,594815,Delaware,Del.,DE
1977,FL,8888806,Florida,Fla.,FL
1977,GA,5211306,Georgia,Ga.,GA
1977,HI,915753,Hawaii,Hawaii,HI
1977,IA,2914404,Iowa,Iowa,IA
1977,ID,883539,Idaho,Idaho,ID
1977,IL,11406331,Illinois,Ill.,IL
1977,IN,5405151,Indiana,Ind.,IN
1977,KS,2318147,Kansas,Kans.,KS
1977,KY,3575221,Kentucky,Ky.,KY
1977,LA,4015423,Louisiana,La.,LA
1977,MA,5744117,Massachusetts,Mass.,MA
1977,MD,4194629,Maryland,Md.,MD
1977,ME,1105357,Maine,Maine,ME
1977,MI,9157357,Michigan,Mich.,MI
1977,MN,3979937,Minnesota,Minn.,MN
1977,MO,4845283,Missouri,Mo.,MO
1977,MS,2459607,Mississippi,Miss.,MS
1977,MT,771428,Montana,Mont.,MT
1977,NC,5668363,North Carolina,N.C.,NC
1977,ND,649294,North Dakota,N.D.,ND
1977,NE,1554759,Nebraska,Nebr.,NE
1977,NH,871873,New Hampshire,N.H.,NH
1977,NJ,7342023,New Jersey,N.J.,NJ
1977,NM,1225310,New Mexico,N.M.,NM
1977,NV,678154,Nevada,Nev.,NV
1977,NY,17851561,New York,N.Y.,NY
1977,OH,10771362,Ohio,Ohio,OH
1977,OK,2865865,Oklahoma,Okla.,OK
1977,OR,2439477,Oregon,Ore.,OR
1977,PA,11881959,Pennsylvania,Pa.,PA
1977,RI,955133,Rhode Island,R.I.,RI
1977,SC,2988908,South Carolina,S.C.,SC
1977,SD,689104,South Dakota,S.D.,SD
1977,TN,4401991,Tennessee,Tenn.,TN
1977,TX,13192014,Texas,Tex.,TX
1977,UT,1316443,Utah,Utah,UT
1977,VA,5205505,Virginia,Va.,VA
1977,VT,492180,Vermont,Vt.,VT
1977,WA,3772421,Washington,Wash.,WA
1977,WI,4613339,Wisconsin,Wis.,WI
1977,WV,1905696,West Virginia,W.Va.,WV
1977,WY,411606,Wyoming,Wyo.,WY
1978,AK,402051,Alaska,Alaska,AK
1978,AL,3833971,Alabama,Ala.,AL
1978,AR,2240956,Arkansas,Ark.,AR
1978,AZ,2517851,Arizona,Ariz.,AZ
1978,CA,22839038,California,Calif.,CA
1978,CO,2766843,Colorado,Colo.,CO
1978,CT,3094869,Connecticut,Conn.,CT
1978,DC,670045,District of Columbia,D.C.,DC
1978,DE,598183,Delaware,Del.,DE
1978,FL,9131410,Florida,Fla.,FL
1978,GA,5285688,Georgia,Ga.,GA
1978,HI,928804,Hawaii,Hawaii,HI
1978,IA,2919047,Iowa,Iowa,IA
1978,ID,911042,Idaho,Idaho,ID
1978,IL,11434520,Illinois,Ill.,IL
1978,IN,5446484,Indiana,Ind.,IN
1978,KS,2333141,Kansas,Kans.,KS
1978,KY,3611577,Kentucky,Ky.,KY
1978,LA,4073143,Louisiana,La.,LA
1978,MA,5742953,Massachusetts,Mass.,MA
1978,MD,4211619,Maryland,Md.,MD
1978,ME,1115461,Maine,Maine,ME
1978,MI,9202029,Michigan,Mich.,MI
1978,MN,4004738,Minnesota,Minn.,MN
1978,MO,4871354,Missouri,Mo.,MO
1978,MS,2487840,Mississippi,Miss.,MS
1978,MT,784108,Montana,Mont.,MT
1978,NC,5739221,North Carolina,N.C.,NC
1978,ND,650802,North Dakota,N.D.,ND
1978,NE,1561134,Nebraska,Nebr.,NE
1978,NH,893981,New Hampshire,N.H.,NH
1978,NJ,7356425,New Jersey,N.J.,NJ
1978,NM,1251898,New Mexico,N.M.,NM
1978,NV,719391,Nevada,Nev.,NV
1978,NY,17720503,New York,N.Y.,NY
1978,OH,10795544,Ohio,Ohio,OH
1978,OK,2912963,Oklahoma,Okla.,OK
1978,OR,2509658,Oregon,Ore.,OR
1978,PA,11864840,Pennsylvania,Pa.,PA
1978,RI,957247,Rhode Island,R.I.,RI
1978,SC,3041015,South Carolina,S.C.,SC
1978,SD,689368,South Dakota,S.D.,SD
1978,TN,4461690,Tennessee,Tenn.,TN
1978,TX,13497902,Texas,Tex.,TX
1978,UT,1364279,Utah,Utah,UT
1978,VA,5283888,Virginia,Va.,VA
1978,VT,498306,Vermont,Vt.,VT
1978,WA,3886250,Washington,Wash.,WA
1978,WI,4630998,Wisconsin,Wis.,WI
1978,WV,1920428,West Virginia,W.Va.,WV
1978,WY,430953,Wyoming,Wyo.,WY
1979,AK,403367,Alaska,Alaska,AK
1979,AL,3869340,Alabama,Ala.,AL
1979,AR,2269073,Arkansas,Ark.,AR
1979,AZ,2638572,Arizona,Ariz.,AZ
1979,CA,23255178,California,Calif.,CA
1979,CO,2849298,Colorado,Colo.,CO
1979,CT,3099931,Connecticut,Conn.,CT
1979,DC,655620,District of Columbia,D.C.,DC
1979,DE,598823,Delaware,Del.,DE
1979,FL,9470482,Florida,Fla.,FL
1979,GA,5390853,Georgia,Ga.,GA
1979,HI,950042,Hawaii,Hawaii,HI
1979,IA,2916824,Iowa,Iowa,IA
1979,ID,932725,Idaho,Idaho,ID
1979,IL,11422890,Illinois,Ill.,IL
1979,IN,5474976,Indiana,Ind.,IN
1979,KS,2347705,Kansas,Kans.,KS
1979,KY,3643920,Kentucky,Ky.,KY
1979,LA,4139128,Louisiana,La.,LA
1979,MA,5746212,Massachusetts,Mass.,MA
1979,MD,4223366,Maryland,Md.,MD
1979,ME,1124939,Maine,Maine,ME
1979,MI,9248893,Michigan,Mich.,MI
1979,MN,4038217,Minnesota,Minn.,MN
1979,MO,4889416,Missouri,Mo.,MO
1979,MS,2507743,Mississippi,Miss.,MS
1979,MT,789255,Montana,Mont.,MT
1979,NC,5801496,North Carolina,N.C.,NC
1979,ND,652317,North Dakota,N.D.,ND
1979,NE,1564670,Nebraska,Nebr.,NE
1979,NH,911900,New Hampshire,N.H.,NH
1979,NJ,7373065,New Jersey,N.J.,NJ
1979,NM,1280594,New Mexico,N.M.,NM
1979,NV,765194,Nevada,Nev.,NV
1979,NY,17633759,New York,N.Y.,NY
1979,OH,10798677,Ohio,Ohio,OH
1979,OK,2970069,Oklahoma,Okla.,OK
1979,OR,2578367,Oregon,Ore.,OR
1979,PA,11873663,Pennsylvania,Pa.,PA
1979,RI,956651,Rhode Island,R.I.,RI
1979,SC,3086840,South Carolina,S.C.,SC
1979,SD,689106,South Dakota,S.D.,SD
1979,TN,4533346,Tennessee,Tenn.,TN
1979,TX,13887550,Texas,Tex.,TX
1979,UT,1416142,Utah,Utah,UT
1979,VA,5324338,Virginia,Va.,VA
1979,VT,505730,Vermont,Vt.,VT
1979,WA,4012909,Washington,Wash.,WA
1979,WI,4665965,Wisconsin,Wis.,WI
1979,WV,1939112,West Virginia,W.Va.,WV
1979,WY,451894,Wyoming,Wyo.,WY
1980,AK,404680,Alaska,Alaska,AK
1980,AL,3899671,Alabama,Ala.,AL
1980,AR,2288809,Arkansas,Ark.,AR
1980,AZ,2735840,Arizona,Ariz.,AZ
1980,CA,23792840,California,Calif.,CA
1980,CO,2909545,Colorado,Colo.,CO
1980,CT,3114221,Connecticut,Conn.,CT
1980,DC,637161,District of Columbia,D.C.,DC
1980,DE,594936,Delaware,Del.,DE
1980,FL,9841159,Florida,Fla.,FL
1980,GA,5484427,Georgia,Ga.,GA
1980,HI,961525,Hawaii,Hawaii,HI
1980,IA,2915562,Iowa,Iowa,IA
1980,ID,948582,Idaho,Idaho,ID
1980,IL,11435454,Illinois,Ill.,IL
1980,IN,5492740,Indiana,Ind.,IN
1980,KS,2370088,Kansas,Kans.,KS
1980,KY,3665364,Kentucky,Ky.,KY
1980,LA,4221583,Louisiana,La.,LA
1980,MA,5748441,Massachusetts,Mass.,MA
1980,MD,4226191,Maryland,Md.,MD
1980,ME,1127825,Maine,Maine,ME
1980,MI,9256676,Michigan,Mich.,MI
1980,MN,4086746,Minnesota,Minn.,MN
1980,MO,4923025,Missouri,Mo.,MO
1980,MS,2524011,Mississippi,Miss.,MS
1980,MT,788754,Montana,Mont.,MT
1980,NC,5896178,North Carolina,N.C.,NC
1980,ND,654501,North Dakota,N.D.,ND
1980,NE,1572854,Nebraska,Nebr.,NE
1980,NH,924802,New Hampshire,N.H.,NH
1980,NJ,7376972,New Jersey,N.J.,NJ
1980,NM,1309108,New Mexico,N.M.,NM
1980,NV,810232,Nevada,Nev.,NV
1980,NY,17566376,New York,N.Y.,NY
1980,OH,10803551,Ohio,Ohio,OH
1980,OK,3040067,Oklahoma,Okla.,OK
1980,OR,2642128,Oregon,Ore.,OR
